人, 人, rén, person, Person
口, 口, kǒu, mouth, Body
的, 白勺, dí, of (possessive), Connector
白, 白, bái, white, Color
勹, 勹, bāo, wrap, Action
止, 止, zhǐ, stop, Action
勺, 勹, sháo, spoon, Tool
土, 土, tǔ, earth, Nature
木, 木, mù, wood, Nature
日, 日, rì, sun/day, Time
又, 又, yòu, again, Time
一, 一, yī, one, Quantity
水, 水, shuǐ, water, Nature
舌, 干口, shé, tongue, Body
辵, 彳止, chuò, walk, Action
是, 旦止, shì, is/are, Connector
手, 手, shǒu, hand, Body
大, 大, dà, big, Size
刀, 刀, dāo, knife, Tool
言, 舌, yán, speech/language, Action
不, 不, bù, no, Connector
心, 心, xīn, heart, Body
屮, 屮, chè, sprout, Nature
目, 目, mù, eye, Body
彳, 彳, chì, step, Action
女, 女, nǚ, woman, Person
糸, 糸, mì, silk/thread, Nature
儿, 人, ér, child, Person
寸, 寸, cùn, inch, Quantity
也, 也, yě, also, Connector
子, 子, zǐ, child, Person
了, 了, liǎo, complete, Connector
旦, 日, dàn, dawn, Time
干, 干, gān, dry, Nature
在, 才土, zài, at/in, Location
有, 𠂇肉, yǒu, have, Action
肉, 肉, ròu, meat, Food
宀, 宀, mián, roof, Building
囗, 囗, wéi, enclosure, Building
力, 力, lì, strength, Action
禾, 禾, hé, grain, Food
八, 八, bā, eight, Quantity
生, 屮土, shēng, birth/life, Nature
这, 辵文, zhè, this, Connector
中, 中, zhōng, middle, Location
十, 十, shí, ten, Quantity
阝, 阜邑, fǔ, mound, Location
匕, 匕, bǐ, dagger, Tool
亼, 亼, jí, gather, Action
厂, 厂, chǎng, factory, Building
文, 文, wén, culture/language, Action
玉, 玉, yù, jade, Nature
犬, 犬, quǎn, dog, Animal
上, 上, shàng, above, Location
火, 火, huǒ, fire, Nature
来, 来, lái, come, Action
我, 我, wǒ, I/me, Person
和, 禾口, hé, and, Connector
个, 个, gè, individual, Quantity
攴, 卜又, pū, strike, Action
为, 为, wéi, to be, Connector
地, 土也, dì, ground, Location
门, 门, mén, door, Building
工, 工, gōng, work, Action
田, 田, tián, field, Location
夕, 夕, xī, evening, Time
他, 人也, tā, he/him, Person
以, 人, yǐ, use, Action
艸, 屮, cǎo, grass, Nature
卜, 卜, bǔ, divination, Action
要, 覀女, yào, want, Action
卩, 卩, jié, seal, Building
到, 至刀, dào, arrive, Action
们, 人门, mén, plural marker, Connector
可, 丂口, kě, can, Connector
兑, 口儿, duì, exchange, Action
斤, 斤, jīn, catty (weight), Quantity
云, 云, yún, cloud, Weather
己, 己, jǐ, self, Person
羊, 羊, yáng, sheep, Animal
国, 囗玉, guó, country, Location
时, 日寸, shí, time, Time
里, 田土, lǐ, inside, Location
贝, 贝, bèi, shell/money, Tool
出, 屮凵, chū, go out, Action
就, 京尤, jiù, then, Connector
主, 主, zhǔ, master, Person
见, 冂儿, jiàn, see, Action
正, 止, zhèng, correct, Action
用, 用, yòng, use, Action
去, 去, qù, go, Action
冖, 冖, mì, cover, Building
说, 言兑, shuō, speak, Action
会, 亼云, huì, can/will, Action
方, 方, fāng, direction, Location
成, 戌丁, chéng, become, Action
犮, 犬, quǎn, dog (bark), Animal
牛, 牛, niú, cow, Animal
廾, 廾, gǒng, join, Action
对, 又寸, duì, correct, Connector
月, 月, yuè, moon/month, Time
发, 犮, fà, send, Action
几, 几, jī, how many, Quantity
竹, 竹, zhú, bamboo, Nature
阜, 阜, fù, mound, Location
邑, 囗卩, yì, city, Location
学, 子, xué, study, Action
至, 至, zhì, reach, Action
着, 羊目, zhuó, wear, Action
而, 而, ér, and, Connector
冂, 冂, jiōng, border, Location
衣, 衣, yī, clothes, Clothing
于, 于, yú, in, Location
能, 能, néng, can, Action
作, 人乍, zuò, make, Action
二, 二, èr, two, Quantity
示, 示, shì, show, Action
史, 史, shǐ, history, Action
分, 八刀, fēn, divide, Action
下, 下, xià, down, Location
过, 辵寸, guò, pass, Action
动, 云力, dòng, move, Action
本, 木, běn, root/origin, Nature
立, 立, lì, stand, Action
车, 车, chē, vehicle, Tool
多, 夕, duō, many, Quantity
老, 老, lǎo, old, Age
自, 自, zì, self, Person
开, 廾一, kāi, open, Action
其, 其, qí, its, Connector
者, 耂曰, zhě, one who, Connector
小, 小, xiǎo, small, Size
之, 之, zhī, of, Connector
年, 年, nián, year, Time
夊, 夊, suī, move slowly, Action
家, 宀豕, jiā, home, Location
得, 彳旦寸, dé, obtain, Action
石, 厂口, shí, stone, Tool
丂, 丂, kǎo, 'k', Sound
种, 禾中, zhǒng, kind, Type
同, 凡口, tóng, same, Connector
京, 京, jīng, capital, Location
丁, 丁, dīng, fourth, Quantity
走, 止, zǒu, walk, Action
经, 糸𢀖, jīng, pass through, Action
戈, 戈, gē, spear, Tool
只, 口八, zhī, only, Connector
产, 文厂, chǎn, produce, Action
现, 玉见, xiàn, appear, Action
各, 夊囗, gè, each, Quantity
化, 人匕, huà, change, Action
